,con300000_bat0.0_pv0.0,con600000_bat0.0_pv0.0,con1000000_bat0.0_pv0.0,con2000000_bat0.0_pv0.0,con3000000_bat0.0_pv0.0,con5000000_bat0.0_pv0.0,con300000_bat0.0001_pv0.0,con600000_bat0.0001_pv0.0,con1000000_bat0.0001_pv0.0,con2000000_bat0.0001_pv0.0,con3000000_bat0.0001_pv0.0,con5000000_bat0.0001_pv0.0,con300000_bat0.0003_pv0.0,con600000_bat0.0003_pv0.0,con1000000_bat0.0003_pv0.0,con2000000_bat0.0003_pv0.0,con3000000_bat0.0003_pv0.0,con5000000_bat0.0003_pv0.0,con300000_bat0.0005_pv0.0,con600000_bat0.0005_pv0.0,con1000000_bat0.0005_pv0.0,con2000000_bat0.0005_pv0.0,con3000000_bat0.0005_pv0.0,con5000000_bat0.0005_pv0.0,con300000_bat0.0007_pv0.0,con600000_bat0.0007_pv0.0,con1000000_bat0.0007_pv0.0,con2000000_bat0.0007_pv0.0,con3000000_bat0.0007_pv0.0,con5000000_bat0.0007_pv0.0,con300000_bat0.0_pv0.15,con600000_bat0.0_pv0.15,con1000000_bat0.0_pv0.15,con2000000_bat0.0_pv0.15,con3000000_bat0.0_pv0.15,con5000000_bat0.0_pv0.15,con300000_bat0.0001_pv0.15,con600000_bat0.0001_pv0.15,con1000000_bat0.0001_pv0.15,con2000000_bat0.0001_pv0.15,con3000000_bat0.0001_pv0.15,con5000000_bat0.0001_pv0.15,con300000_bat0.0003_pv0.15,con600000_bat0.0003_pv0.15,con1000000_bat0.0003_pv0.15,con2000000_bat0.0003_pv0.15,con3000000_bat0.0003_pv0.15,con5000000_bat0.0003_pv0.15,con300000_bat0.0005_pv0.15,con600000_bat0.0005_pv0.15,con1000000_bat0.0005_pv0.15,con2000000_bat0.0005_pv0.15,con3000000_bat0.0005_pv0.15,con5000000_bat0.0005_pv0.15,con300000_bat0.0007_pv0.15,con600000_bat0.0007_pv0.15,con1000000_bat0.0007_pv0.15,con2000000_bat0.0007_pv0.15,con3000000_bat0.0007_pv0.15,con5000000_bat0.0007_pv0.15,con300000_bat0.0_pv0.3,con600000_bat0.0_pv0.3,con1000000_bat0.0_pv0.3,con2000000_bat0.0_pv0.3,con3000000_bat0.0_pv0.3,con5000000_bat0.0_pv0.3,con300000_bat0.0001_pv0.3,con600000_bat0.0001_pv0.3,con1000000_bat0.0001_pv0.3,con2000000_bat0.0001_pv0.3,con3000000_bat0.0001_pv0.3,con5000000_bat0.0001_pv0.3,con300000_bat0.0003_pv0.3,con600000_bat0.0003_pv0.3,con1000000_bat0.0003_pv0.3,con2000000_bat0.0003_pv0.3,con3000000_bat0.0003_pv0.3,con5000000_bat0.0003_pv0.3,con300000_bat0.0005_pv0.3,con600000_bat0.0005_pv0.3,con1000000_bat0.0005_pv0.3,con2000000_bat0.0005_pv0.3,con3000000_bat0.0005_pv0.3,con5000000_bat0.0005_pv0.3,con300000_bat0.0007_pv0.3,con600000_bat0.0007_pv0.3,con1000000_bat0.0007_pv0.3,con2000000_bat0.0007_pv0.3,con3000000_bat0.0007_pv0.3,con5000000_bat0.0007_pv0.3
list_battery_max_negative_load,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000]
list_battery_init_state,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
list_pv_annual_kwh,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[45080],[90160],[150267],[300534],[450801],[751335],[45080],[90160],[150267],[300534],[450801],[751335],[45080],[90160],[150267],[300534],[450801],[751335],[45080],[90160],[150267],[300534],[450801],[751335],[45080],[90160],[150267],[300534],[450801],[751335],[90160],[180320],[300534],[601068],[901602],[1502671],[90160],[180320],[300534],[601068],[901602],[1502671],[90160],[180320],[300534],[601068],[901602],[1502671],[90160],[180320],[300534],[601068],[901602],[1502671],[90160],[180320],[300534],[601068],[901602],[1502671]
pv_is_generic,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
list_generator_load_given,[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False]
list_generator_is_step_function,[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False],[False]
list_generator_max_load,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
list_generator_max_load_hourly_change,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
list_generator_fee_per_kwh,[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018],[0.018]
list_generator_fuel_conversion_efficiency,[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75],[0.75]
list_generator_annual_volume_cap,[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000],[20000000]
list_generator_init_state,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
max_absolute_grid_load,10000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000,5000,10000,10000,10000,10000,10000
no_negative_grid_load,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
usage_quota_class,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
nev_below_gwh_grid_fee,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643,0.00643
nev_above_gwh_grid_fee,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
nev_approx_fee,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005,0.00643,0.00643,0.0005,0.0005,0.0005,0.0005
